Annee;Mois;Prix_Ble;Prix_Mais;Prix_Orge;Prix_Sarrasin;Prix_Seigle;Prix_Tournesol;Prix_Moutarde;Temperature;Pression;Pluviometrie;Prix_Petrole;Valeur_Euro;Inflation;Prix_Eau;Prix_Gaz;Prix_Electricite
1996;1;155,0;148,0;135,0;380,0;140,0;220,0;450,0;4,5;1016,2;58,2;18,2;1,28;2,0;2,15;15,2;22,1
1996;2;152,0;145,0;132,0;380,0;138,0;218,0;450,0;4,2;1015,4;54,1;18,9;1,29;2,0;2,15;15,1;21,8
1996;3;148,0;142,0;130,0;380,0;135,0;215,0;450,0;7,6;1014,1;38,6;20,3;1,28;2,3;2,15;15,1;20,5
1996;4;145,0;140,0;128,0;380,0;132,0;210,0;455,0;11,2;1012,8;42,1;21,2;1,24;2,3;2,15;15,4;19,4
1996;5;140,0;135,0;125,0;385,0;128,0;205,0;455,0;12,6;1015,2;78,4;19,5;1,23;2,4;2,15;15,4;18,2
1996;6;135,0;130,0;120,0;385,0;120,0;200,0;460,0;17,9;1016,5;32,5;18,8;1,23;2,3;2,15;15,4;18,1
1996;7;125,0;125,0;105,0;390,0;110,0;195,0;460,0;19,1;1017,1;62,1;19,7;1,26;2,3;2,15;15,8;18,5
1996;8;120,0;120,0;100,0;390,0;105,0;190,0;470,0;19,4;1016,2;74,8;20,5;1,27;1,6;2,15;15,8;18,8
1996;9;122,0;118,0;102,0;400,0;108,0;200,0;470,0;14,9;1016,8;56,4;23,2;1,26;1,6;2,15;15,8;19,5
1996;10;125,0;115,0;105,0;410,0;110,0;210,0;480,0;12,2;1014,5;48,9;24,5;1,25;1,8;2,15;16,2;20,2
1996;11;128,0;118,0;108,0;410,0;113,0;215,0;480,0;7,5;1013,2;92,5;23,1;1,27;1,6;2,15;16,2;21,4
1996;12;130,0;120,0;110,0;410,0;115,0;220,0;480,0;3,8;1018,1;84,1;23,5;1,25;1,7;2,15;16,2;22,8
1997;1;128,0;118,0;110,0;410,0;115,0;225,0;480,0;1,8;1022,1;14,5;23,4;1,21;1,7;2,22;16,5;23,2
1997;2;125,0;115,0;108,0;410,0;112,0;230,0;485,0;7,5;1018,4;62,4;20,8;1,17;1,7;2,22;16,5;22,5
1997;3;122,0;112,0;105,0;410,0;110,0;235,0;490,0;10,2;1020,5;22,8;19,1;1,16;1,1;2,22;16,5;21,4
1997;4;120,0;110,0;102,0;410,0;108,0;240,0;495,0;11,4;1014,2;38,4;17,6;1,14;1,0;2,22;16,8;20,1
1997;5;118,0;108,0;100,0;410,0;105,0;245,0;500,0;14,4;1015,1;72,1;19,0;1,14;0,9;2,22;16,8;19,5
1997;6;115,0;105,0;98,0;415,0;102,0;250,0;500,0;17,2;1016,3;88,6;18,1;1,14;1,0;2,22;16,8;19,2
1997;7;112,0;102,0;95,0;415,0;100,0;245,0;505,0;19,4;1016,8;64,2;18,4;1,09;1,1;2,22;17,1;19,4
1997;8;110,0;100,0;92,0;420,0;98,0;240,0;510,0;21,9;1015,9;75,1;18,5;1,08;1,5;2,22;17,1;19,8
1997;9;115,0;105,0;95,0;420,0;102,0;245,0;515,0;17,4;1018,2;32,4;18,6;1,11;1,3;2,22;17,1;20,5
1997;10;118,0;108,0;98,0;425,0;105,0;250,0;520,0;12,5;1016,4;55,8;19,5;1,11;1,0;2,22;17,4;21,4
1997;11;120,0;110,0;100,0;425,0;108,0;255,0;525,0;8,8;1014,2;88,2;18,9;1,12;1,3;2,22;17,4;22,1
1997;12;122,0;112,0;102,0;425,0;110,0;260,0;530,0;5,6;1017,5;74,5;16,8;1,11;1,1;2,22;17,4;23,5
1998;1;120,0;110,0;100,0;425,0;110,0;265,0;530,0;5,8;1018,5;55,4;15,1;1,09;0,5;2,3;17,2;23,8
1998;2;118,0;108,0;98,0;425,0;108,0;270,0;525,0;7,9;1024,2;28,6;14,1;1,08;0,7;2,3;17,2;23,1
1998;3;115,0;105,0;95,0;420,0;105,0;275,0;520,0;9,4;1017,3;42,1;13,1;1,08;0,8;2,3;17,2;22,4
1998;4;112,0;102,0;92,0;420,0;102,0;270,0;515,0;10,6;1011,5;94,2;13,5;1,09;1,0;2,3;16,8;21,2
1998;5;110,0;100,0;90,0;415,0;100,0;260,0;510,0;14,8;1015,4;52,8;14,4;1,11;1,0;2,3;16,8;20,1
1998;6;108,0;98,0;88,0;410,0;98,0;250,0;500,0;17,7;1015,8;48,1;12,0;1,1;1,0;2,3;16,8;19,8
1998;7;105,0;95,0;85,0;400,0;95,0;240,0;490,0;19,3;1017,2;38,4;12,1;1,1;0,8;2,3;16,4;19,5
1998;8;102,0;92,0;82,0;400,0;92,0;230,0;480,0;20,4;1016,5;42,6;12,2;1,1;0,6;2,3;16,4;19,9
1998;9;105,0;95,0;85,0;405,0;95,0;220,0;485,0;16,8;1016,9;88,2;13,1;1,17;0,5;2,3;16,4;21,2
1998;10;108,0;98,0;88,0;410,0;98,0;210,0;490,0;12,7;1012,8;112,4;13,0;1,18;0,4;2,3;16,0;22,4
1998;11;112,0;102,0;92,0;415,0;102,0;205,0;500,0;6,3;1014,7;52,1;11,5;1,17;0,2;2,3;16,0;23,5
1998;12;115,0;105,0;95,0;420,0;105,0;200,0;510,0;5,5;1019,2;48,7;10,4;1,17;0,3;2,3;16,0;24,1
1999;1;112,0;102,0;92,0;420,0;102,0;195,0;510,0;5,3;1019,8;72,4;11,2;1,16;0,4;2,38;15,8;24,5
1999;2;110,0;100,0;90,0;420,0;100,0;190,0;510,0;4,1;1020,1;68,2;10,3;1,12;0,3;2,38;15,8;23,8
1999;3;108,0;98,0;88,0;425,0;98,0;185,0;515,0;9,3;1017,4;44,1;12,5;1,09;0,5;2,38;15,8;22,1
1999;4;105,0;95,0;85,0;425,0;95,0;180,0;520,0;11,9;1013,2;78,5;15,3;1,07;0,6;2,38;16,2;20,8
1999;5;102,0;92,0;82,0;430,0;92,0;175,0;525,0;16,1;1014,8;62,1;15,6;1,06;0,4;2,38;16,2;19,8
1999;6;100,0;90,0;80,0;430,0;90,0;170,0;530,0;17,9;1017,2;38,4;15,9;1,04;0,4;2,38;16,2;19,5
1999;7;98,0;88,0;78,0;435,0;88,0;165,0;535,0;20,8;1017,9;42,1;18,3;1,03;0,4;2,38;16,8;19,2
